Iteration,Algorithm,Time,CPUTime,Expanded,Found,Steps,Directions,InitialBoard,Solvable,ProfundidadeMaximaDFS,QtdMovimentos,Seed,Inversoes,LinhaVazio,MemMBInicio,MemMBFim,PID
1,BFS,0.9621188640594482,0.529795417,114823,True,14,"['cima', 'direita', 'baixo', 'esquerda', 'esquerda', 'cima', 'esquerda', 'baixo', 'baixo', 'baixo', 'direita', 'direita', 'cima', 'direita', 'baixo']","[[2, 6, 8, 3], [1, 7, 0, 4], [5, 10, 15, 11], [9, 13, 14, 12]]",True,,15,47421387,22,3,72.75,209.34375,56610
1,DFS,10.962772846221924,10.406150041,5662019,False,0,[],"[[2, 6, 8, 3], [1, 7, 0, 4], [5, 10, 15, 11], [9, 13, 14, 12]]",True,30,15,47421387,22,3,75.203125,739.90625,56610
1,A*,0.000308990478515625,0.000309125,27,True,14,"['cima', 'direita', 'baixo', 'esquerda', 'esquerda', 'cima', 'esquerda', 'baixo', 'baixo', 'baixo', 'direita', 'direita', 'cima', 'direita', 'baixo']","[[2, 6, 8, 3], [1, 7, 0, 4], [5, 10, 15, 11], [9, 13, 14, 12]]",True,,15,47421387,22,3,77.1875,77.203125,56610
2,BFS,1.337109088897705,0.7172137089999999,148774,True,14,"['esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'baixo', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'direita', 'cima', 'direita', 'baixo']","[[2, 5, 3, 4], [1, 7, 0, 8], [13, 6, 15, 11], [10, 9, 14, 12]]",True,,15,74335306,22,3,739.90625,638.03125,56610
2,DFS,11.234923124313354,10.487836959000001,5662019,False,0,[],"[[2, 5, 3, 4], [1, 7, 0, 8], [13, 6, 15, 11], [10, 9, 14, 12]]",True,30,15,74335306,22,3,739.921875,751.84375,56610
2,A*,0.00043010711669921875,0.00042995800000000003,34,True,14,"['esquerda', 'cima', 'esquerda', 'baixo', 'direita', 'baixo', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'direita', 'cima', 'direita', 'baixo']","[[2, 5, 3, 4], [1, 7, 0, 8], [13, 6, 15, 11], [10, 9, 14, 12]]",True,,15,74335306,22,3,739.6875,739.6875,56610
3,BFS,1.4007949829101562,0.8037643750000001,152529,True,14,"['direita', 'direita', 'baixo', 'esquerda', 'esquerda', 'cima', 'esquerda', 'baixo', 'baixo', 'baixo', 'direita', 'cima', 'direita', 'baixo', 'direita']","[[2, 0, 6, 3], [1, 7, 8, 4], [5, 14, 10, 12], [9, 13, 11, 15]]",True,,15,75825462,19,4,751.84375,633.515625,56610
3,DFS,11.031786918640137,10.216411,5545959,False,0,[],"[[2, 0, 6, 3], [1, 7, 8, 4], [5, 14, 10, 12], [9, 13, 11, 15]]",True,30,15,75825462,19,4,751.625,689.953125,56610
3,A*,0.00032591819763183594,0.000323625,25,True,14,"['direita', 'direita', 'baixo', 'esquerda', 'esquerda', 'cima', 'esquerda', 'baixo', 'baixo', 'baixo', 'direita', 'cima', 'direita', 'baixo', 'direita']","[[2, 0, 6, 3], [1, 7, 8, 4], [5, 14, 10, 12], [9, 13, 11, 15]]",True,,15,75825462,19,4,750.140625,750.140625,56610
4,BFS,1.309041976928711,0.644052667,136730,True,14,"['direita', 'baixo', 'direita', 'cima', 'direita', 'cima', 'esquerda', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'baixo', 'baixo', 'direita']","[[1, 6, 4, 8], [0, 5, 7, 2], [9, 3, 10, 12], [13, 14, 11, 15]]",True,,15,61499746,18,3,689.703125,590.609375,56610
4,DFS,9.398561954498291,8.740029041,4804198,False,0,[],"[[1, 6, 4, 8], [0, 5, 7, 2], [9, 3, 10, 12], [13, 14, 11, 15]]",True,30,15,61499746,18,3,689.71875,749.90625,56610
4,A*,0.0005319118499755859,0.000532542,42,True,14,"['direita', 'baixo', 'direita', 'cima', 'direita', 'cima', 'esquerda', 'baixo', 'esquerda', 'cima', 'direita', 'baixo', 'baixo', 'baixo', 'direita']","[[1, 6, 4, 8], [0, 5, 7, 2], [9, 3, 10, 12], [13, 14, 11, 15]]",True,,15,61499746,18,3,690.609375,690.609375,56610
5,BFS,0.046608924865722656,0.0272365,6495,True,10,"['cima', 'esquerda', 'baixo', 'direita', 'baixo', 'baixo', 'esquerda', 'cima', 'direita', 'direita', 'baixo']","[[1, 3, 6, 4], [5, 2, 0, 8], [9, 14, 7, 11], [13, 15, 10, 12]]",True,,15,81683664,18,3,749.90625,571.046875,56610
5,DFS,10.381517887115479,10.332733292,5662019,False,0,[],"[[1, 3, 6, 4], [5, 2, 0, 8], [9, 14, 7, 11], [13, 15, 10, 12]]",True,30,15,81683664,18,3,749.921875,698.125,56610
5,A*,0.0002951622009277344,0.000293375,23,True,10,"['cima', 'esquerda', 'baixo', 'direita', 'baixo', 'baixo', 'esquerda', 'cima', 'direita', 'direita', 'baixo']","[[1, 3, 6, 4], [5, 2, 0, 8], [9, 14, 7, 11], [13, 15, 10, 12]]",True,,15,81683664,18,3,749.9375,749.9375,56610

